id_district;district;location_type;location_detail;location_name;location_number;greenarea_ZV_roadtrees _AV;species;number_of_trees;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de la;Villa de Par°s;;ZV;Platanus x hybrida;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Jard°n;de las;Vistillas;;ZV;Acer platanoides 'Crimson King';3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Jard°n;de las;Vistillas;;ZV;Liriodendron tulipifera;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Chueca;;ZV ;Aesculus hippocastanum;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Corrala Sombrerete;;ZV ;Acer negundo;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Corrala Sombrerete;;ZV ;Celtis australis;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;del;Dos de Mayo;;ZV ;Acer saccharinum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Ministriles Chica;;ZV ;Melia azedarach;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Nelson Mandela;;ZV ;Pyrus calleryana;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;;Paloma -Icona;;ZV ;Prunus cerasifera pissardii;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Santa Barbara;;ZV ;Acer saccharinum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Santa Barbara;;ZV ;Cercis siliquastrum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Santa Barbara;;ZV ;Platanus x hybrida;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Centro;Plaza;de;Soledad Torres Acosta;;ZV ;Aesculus hippocastanum;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;µncora;;AV;Sophora japonica;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Embajadores;;AV;Celtis australis;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Embajadores;;AV;Ligustrum japonicum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Paseo;;Imperial;;AV;Sophora japonica;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Jaime el Conquistador;;AV;Celtis australis;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Paseo;;Juan Antonio Vallejo  - N†gera Botas;;AV;Pistacia chinensis;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Avenida;del;Planetario;;AV;Celtis australis;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Ronda;de;Segovia;;AV;Sophora japonica;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;de;Toledo;;AV;Pinus pinea;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Concejal Benito Mart°n Lozano;;ZV;Cedrus atlantica;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Concejal Benito Mart°n Lozano;;ZV;Fraxinus excelsior;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Plaza;;Fray Luis de Le¢n-Palos de la Frontera;;ZV;Liquidambar styraciflua;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Plaza;del;Mercado ;;ZV;Pyrus calleryana;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Valdelaguna;;ZV;Fraxinus excelsior;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Valdelasierra;;ZV;Melia azedarach;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Valdelasierra;;ZV;Morus alba;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Calle;;Valdelasierra;;ZV;Tamarix gallica;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Pol°gono;;Yeser°as;;ZV;Celtis australis;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Arganzuela;Pol°gono;;Yeser°as;;ZV;Hibiscus syriacus;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Alcalde Sainz de Baranda;;AV;Celtis australis;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Alcalde Sainz de Baranda;;AV;Sophora japonica;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Alfonso XI;;AV;Sophora japonica;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Avenida;;Ciudad de Barcelona;;AV;Platanus x hybrida;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Felipe IV;;AV;Sophora japonica;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Fuenterrabia;;AV;Sophora japonica;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Ibiza;;AV;Sophora japonica;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Juan de Mena;;AV;Sophora japonica;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Luis Mitjans;;AV;Acer buergerianum;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Ruiz de Alarc¢n;;AV;Sophora japonica;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Avenida;;Ciudad de Barcelona;;ZV;Ligustrum japonicum 'Variegata';1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Conde de Cartagena;;ZV;Cedrus deodara;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Conde de Cartagena;;ZV;Celtis australis;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Calle;;Conde de Cartagena;;ZV;Hibiscus syriacus;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Plaza;;Daoiz y Velarde;;ZV;Melia azedarach;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Plaza;;Daoiz y Velarde;;ZV;Pyrus calleryana;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Retiro;Plaza;;Daoiz y Velarde;;ZV;Sophora japonica;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
