district,green_aeaa_ZV_road_trees_AV,location,specie,performance,units
Villa de Vallecas,AV,"Puerto de Porzuna, calle",Ulmus pumila,Poda de mantenimiento,6
Villa de Vallecas,AV,"San Jaime, calle",Acer campestre,Poda de mantenimiento,3
Villa de Vallecas,AV,"San Jaime, calle",Celtis australis,Poda de mantenimiento,11
Villa de Vallecas,AV,"San Jaime, calle",Celtis occidentalis,Poda de mantenimiento,1
Villa de Vallecas,AV,"San Jaime, calle",Fraxinus excelsior,Tala deficiente,4
Villa de Vallecas,AV,"San Jaime, calle",Malus communis,Poda de mantenimiento,1
Villa de Vallecas,AV,"San Jaime, calle",Ulmus pumila,Poda de mantenimiento,6
Vicálvaro,ZV,"Anillo Verde de Vicálvaro, zona forestal",Pinus pinea,Poda de mantenimiento,82
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Acer negundo,Poda de mantenimiento,6
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Eleagnus angustifolia,Poda de mantenimiento,3
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Fraxinus excelsior,Poda de mantenimiento,1
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Pinus pinea,Poda de mantenimiento,6
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Platanus orientalis,Poda de mantenimiento,1
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Robinia pseudoacacia,Poda de mantenimiento,6
Vicálvaro,ZV,"Artilleros, 2-10, paseo",Ulmus pumila,Poda de mantenimiento,17
Vicálvaro,ZV,"El Madroño, centro cultural",Ligustrum japonicum,Poda de mantenimiento,10
Vicálvaro,ZV,"El Madroño, centro cultural",Platanus x hybrida,Poda de mantenimiento,10
Vicálvaro,ZV,"Gallo, 15",Acer negundo,Poda de mantenimiento,21
Vicálvaro,ZV,"Gallo, 15",Olea europaea,Poda de mantenimiento,1
Vicálvaro,AV,"Calahorra, calle",Ligustrum japonicum,Poda de mantenimiento,1
Vicálvaro,AV,"Caliza, calle",Platanus x hybrida,Poda de mantenimiento,1
Vicálvaro,AV,"Campo de la Torre, calle",Platanus x hybrida,Poda de mantenimiento,5
Vicálvaro,AV,"Comunidades, avenida",Platanus x hybrida,Poda de mantenimiento,3
Vicálvaro,AV,"Dehesa de Vicálvaro, calle",Platanus x hybrida,Poda de mantenimiento,4
Vicálvaro,AV,"Gallo, calle",Platanus x hybrida,Poda de mantenimiento,2
Vicálvaro,AV,"Gran Vía del Este, avenida",Broussonetia papyrifera,Poda de mantenimiento,26
Vicálvaro,AV,"Gran Vía del Este, avenida",Morus alba,Poda de mantenimiento,88
Vicálvaro,AV,"Herce, calle",Ligustrum japonicum,Poda de mantenimiento,2
Vicálvaro,AV,"Herce, calle",Platanus x hybrida,Poda de mantenimiento,29
Vicálvaro,AV,"Minerva, calle",Morus alba,Poda de mantenimiento,1
Vicálvaro,AV,"Minerva, calle",Platanus x hybrida,Poda de mantenimiento,139
Vicálvaro,AV,"Minerva, calle",Sophora japonica,Poda de mantenimiento,4
Vicálvaro,AV,"Minerva, calle",Ulmus pumila,Poda de mantenimiento,3
Vicálvaro,AV,"Molino Viejo, calle",Platanus x hybrida,Poda de mantenimiento,3
Vicálvaro,AV,"Titanio, calle",Platanus x hybrida,Poda de mantenimiento,4
San Blas - Canillejas,ZV,"Ajofrín, parcela",Pinus pinea,Poda de mantenimiento,16
San Blas - Canillejas,ZV,"Ajofrín, parcela",Platanus x hybrida,Poda de mantenimiento,10
San Blas - Canillejas,ZV,"Ajofrín, parcela",Ulmus sp,Poda de mantenimiento,22
San Blas - Canillejas,ZV,"Albaida, parcela",Ulmus pumila,Poda de mantenimiento,5
San Blas - Canillejas,ZV,"Albericia, parcela",Ulmus pumila,Poda de mantenimiento,13
San Blas - Canillejas,ZV,"Aparejadores, parcela",Platanus x hybrida,Poda de mantenimiento,20
San Blas - Canillejas,ZV,"Aparejadores, parcela",Ulmus sp,Poda de mantenimiento,6
San Blas - Canillejas,ZV,"Arcentales, avenida (mediana)",Pinus pinea,Poda de mantenimiento,30
San Blas - Canillejas,ZV,"Arcentales, avenida (mediana)",Ulmus sp,Poda de mantenimiento,3
San Blas - Canillejas,ZV,Canal Bósforo - Esfinge,Elaeagnus angustifolia,Poda de mantenimiento,1
San Blas - Canillejas,ZV,Cuartel de Las Musas,Pinus pinea,Poda de mantenimiento,4
San Blas - Canillejas,ZV,"Fuentes Claras, plaza",Ulmus sp,Poda de mantenimiento,23
San Blas - Canillejas,ZV,"López de Aranda, Parque - Miami",Gleditsia triacanthos,Poda de mantenimiento,30
San Blas - Canillejas,ZV,"López de Aranda, Parque - Miami",Pinus pinea,Poda de mantenimiento,20
San Blas - Canillejas,ZV,Marquesa de Santa Marta,Platanus x hybrida,Poda de mantenimiento,40
San Blas - Canillejas,ZV,"Niza, avenida - Suecia",Tilia sp,Poda de mantenimiento,15
San Blas - Canillejas,ZV,"Pañería, parcela",Platanus x hybrida,Poda de mantenimiento,27
San Blas - Canillejas,ZV,Parque Marsella - Toscana,Pinus pinea,Poda de mantenimiento,9
San Blas - Canillejas,ZV,Parque Marsella - Toscana,Platanus x hybrida,Poda de mantenimiento,20
San Blas - Canillejas,ZV,"San Román del Valle, parcela",Ulmus sp,Poda de mantenimiento,30
San Blas - Canillejas,ZV,"UVA Canillejas, zona forestal",Platanus x hybrida,Poda de mantenimiento,15
San Blas - Canillejas,ZV,"UVA Canillejas, zona forestal",Robinia pseudoaacia,Poda de mantenimiento,10
San Blas - Canillejas,ZV,"UVA Canillejas, zona forestal",Ulmus sp,Poda de mantenimiento,5
San Blas - Canillejas,AV,"Antioquía, calle",Celtis australis,Poda de mantenimiento,21
San Blas - Canillejas,AV,"Gascueña, calle",Ulmus pumila,Poda de mantenimiento,8
San Blas - Canillejas,AV,"Hellín, avenida",Platanus x hybrida,Poda de mantenimiento,126
San Blas - Canillejas,AV,"Julia Gacia Boután, calle",Ulmus pumila,Poda de mantenimiento,42
San Blas - Canillejas,AV,"Lucano, calle",Celtis australis,Poda de mantenimiento,9
San Blas - Canillejas,AV,"Lucano, calle",Ulmus pumila,Poda de mantenimiento,5
San Blas - Canillejas,AV,"Miguel Yuste, calle",Ulmus pumila,Poda de mantenimiento,14
San Blas - Canillejas,AV,"Pañería, calle",Platanus x hybrida,Poda de mantenimiento,33
San Blas - Canillejas,AV,"Tejedores, calle",Platanus x hybrida,Poda de mantenimiento,22
Barajas,ZV,Bergantín,Acacia dealbata,Poda de mantenimiento,4
Barajas,ZV,Bergantín,Morus alba,Poda de mantenimiento,1
Barajas,ZV,Bergantín,Platanus x hybrida,Poda de mantenimiento,3
Barajas,ZV,Bergantín,Ulmus minor,Poda de mantenimiento,2
Barajas,ZV,"Ermita de la Virgen de la Soledad, glorieta",Pinus pinea,Poda de mantenimiento,9
Barajas,ZV,"Ermita de la Virgen de la Soledad, glorieta",Quercus ilex,Poda de mantenimiento,2
Barajas,ZV,"Ermita de la Virgen de la Soledad, glorieta",Ulmus pumila,Poda de mantenimiento,1
Barajas,ZV,"Logroño, avenida - Los Coronales",Platanus x hybrida,Poda de mantenimiento,7
Barajas,ZV,"Los Coronales, zona ajardinada",Platanus x hybrida,Poda de mantenimiento,24
Barajas,ZV,"Pajarones, plaza (isleta)",Platanus x hybrida,Poda de mantenimiento,3
Barajas,AV,"Aeronave, calle",Ulmus pumila,Poda de mantenimiento,1
Barajas,AV,"Bergantín, calle",Platanus x hybrida,Poda de mantenimiento,143
Barajas,AV,"Cantabria, avenida",Morus alba,Poda de mantenimiento,5
Barajas,AV,"Consejo de Europa, avenida",Platanus x hybrida,Poda de mantenimiento,42
